id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
1,0.1,-0.1276014792,-0.1276014945,-0.1276969846,-0.7169658426,-1.1388789285,-1.5445645968
1,0.2,-0.1267224232,-0.1270488142,-0.1271261615,-0.7170030864,-1.1385008914,-1.5441865598
1,0.3,-0.1271964125,-0.1270303567,-0.127086746,-0.7167377611,-1.1385381171,-1.5442237857
1,0.4,-0.1280814148,-0.1280814148,-0.1281184177,-0.7169324707,-1.1388456176,-1.5445312863
1,0.5,-0.1262752736,-0.1262752736,-0.1263022437,-0.7180887248,-1.1400018717,-1.5456875405
1,0.6,-0.1294837156,-0.1294837156,-0.1295033844,-0.7181244387,-1.1400376467,-1.5457234376
1,0.7,-0.1358716017,-0.1358716017,-0.1358859299,-0.7193576768,-1.1412708238,-1.5469566147
1,0.8,-0.1353558825,-0.1353558825,-0.1353674945,-0.7189615614,-1.1408747083,-1.5465603772
1,0.9,-0.1365761085,-0.1365761085,-0.1365837227,-0.7194789757,-1.1413921838,-1.5470779747
1,1,-0.1368424148,-0.1369481619,-0.1369543265,-0.7206732559,-1.1418538706,-1.5475396616
1,1.1,-0.1362555678,-0.1361215704,-0.1361260718,-0.7195801866,-1.1415667535,-1.5472525445
1,1.2,-0.1391206043,-0.1391206043,-0.139123885,-0.7189911511,-1.1409042981,-1.546589967
1,1.3,-0.1298980021,-0.1298980021,-0.1299001536,-0.7187102743,-1.1406234212,-1.5463092122
1,1.4,-0.1247467711,-0.1638622338,-0.2014729822,-0.7201238954,-0.9120112098,-1.0965179541
1,1.5,-0.1242192265,-0.1501144885,-0.2000474854,-0.7243142208,-1.0885203534,-1.3837987671
1,1.6,-0.1251828031,-0.1462603469,-0.1957366695,-0.7235780841,-1.1082458482,-1.4235819646
1,1.7,-0.1324288705,-0.1395276397,-0.1782239455,-0.7174255454,-1.1352856232,-1.5085639878
1,1.8,-0.1379898897,-0.1416335841,-0.1723752111,-0.7171886076,-1.1380379247,-1.5263786952
1,1.9,-0.1338631113,-0.135729958,-0.1594310374,-0.7160463278,-1.1376805492,-1.5341137166
1,2,-0.1309886954,-0.131944733,-0.1498850031,-0.7178388955,-1.1396788327,-1.5404375219
2,0.1,2.2621513368,0.1000826273,-0.5063873499,2.1984260152,0.106182999,-0.8138236392
2,0.2,2.2657864394,0.0964955447,-0.5068549363,2.1993388059,0.1003166965,-0.813669069
2,0.3,2.2685348035,0.0916325698,-0.5076423791,2.1993523061,0.0946630082,-0.8138168991
2,0.4,2.2701244908,0.0874697511,-0.508112972,2.1967682056,0.0878873393,-0.8130577823
2,0.5,2.2691915943,0.0834220807,-0.5078936094,2.1902495578,0.0779986369,-0.8104528423
2,0.6,2.2649366635,0.0739026813,-0.5083177271,2.1765967118,0.0578065981,-0.804895765
2,0.7,2.2531670584,0.0619613208,-0.5108111938,2.1524974905,0.0277914305,-0.795727484
2,0.8,2.2322715708,0.0456996325,-0.5142063909,2.1188374696,-0.0113167041,-0.783210223
2,0.9,2.2009384755,0.0234751734,-0.5159239747,2.0748716978,-0.0602229317,-0.7672305693
2,1,2.1605110033,-0.0054370514,-0.5177883518,2.0241251648,-0.1142408996,-0.7524993716
2,1.1,2.113513714,-0.0407148882,-0.5203613773,1.9678371806,-0.1710397726,-0.7409936446
2,1.2,2.0627878239,-0.0789399255,-0.5232201998,1.9087760897,-0.230778957,-0.7309814919
