id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
1,0.1,2.1027501011,0.0083980818,-0.4958046599,2.0445313596,-0.0121271183,-0.7798852566
1,0.2,2.1059136956,0.0102411339,-0.4884566795,2.0448128655,-0.0075277635,-0.7720884436
1,0.3,2.1059268562,0.0124118264,-0.4925474084,2.0491859208,-0.014104934,-0.7763714187
1,0.4,2.1072498555,0.0107850841,-0.4938105358,2.0468775449,-0.008041382,-0.7774502676
1,0.5,2.1114651899,0.0168761564,-0.487080998,2.050660066,-0.0139428822,-0.769638636
1,0.6,2.1100245175,0.0174911261,-0.486075408,2.0541942526,-0.0156095505,-0.7694311295
1,0.7,2.1123777522,0.0245356294,-0.489058571,2.0526312682,-0.0175990658,-0.7703545246
1,0.8,2.1153608054,0.0460074421,-0.495094257,2.0395691197,-0.0383512805,-0.7618938443
1,0.9,2.1021360792,0.0524537322,-0.5204565131,1.9767421739,-0.126511721,-0.6951805398
1,1,2.0573761004,0.0156643641,-0.5488292124,1.9343395269,-0.2295112053,-0.6481042122
1,1.1,2.0227977241,0.0082329741,-0.5249705649,1.9061261819,-0.2565225089,-0.532967695
1,1.2,1.9838678858,-0.0202012719,-0.4947535335,1.8786869087,-0.2821399498,-0.4431264992
1,1.3,1.9838678858,-0.0202012719,-0.4947535335,1.8786869087,-0.2821399498,-0.4431264992
1,1.4,1.9176987953,-0.1007593362,-0.448665766,1.8141392413,-0.3499559217,-0.3610962633
1,1.5,1.8984449633,-0.133361679,-0.4278447419,1.7812776307,-0.3837917358,-0.3721453675
1,1.6,1.8856614217,-0.1659404155,-0.419615508,1.7539200252,-0.4098128934,-0.3816862216
1,1.7,1.8815393115,-0.1909094095,-0.4222097921,1.7381281717,-0.4282140135,-0.3955637575
1,1.8,1.8820677866,-0.1999895467,-0.4224036723,1.7319785273,-0.4395449381,-0.4031374044
1,1.9,1.8838855029,-0.1973749008,-0.428683342,1.7317401128,-0.4445566883,-0.4111892834
1,2,1.8867318031,-0.1954148989,-0.4303398771,1.7323132465,-0.4508336332,-0.4137679903
1,2.1,1.8875866479,-0.1937888734,-0.4324308532,1.7345200438,-0.4546722787,-0.4148434684
1,2.2,1.887577982,-0.195463083,-0.4338093627,1.7386261337,-0.4595244364,-0.4167651449
1,2.3,1.887846301,-0.198461251,-0.4344961923,1.7371458931,-0.4648062412,-0.4263988675
2,0.1,2.1112338625,0.1200070989,-0.4847720067,2.0252972905,0.0070780341,-0.7106218192
2,0.2,2.107298074,0.1016715894,-0.5024221387,2.0202442454,0.0204446461,-0.748615392
2,0.3,2.1068247764,0.0897278697,-0.4895803096,2.0338515429,0.0261226365,-0.7435616089
2,0.4,2.1081621732,0.082505493,-0.4983170699,2.0345570866,0.0197721218,-0.7561084865
2,0.5,2.1124564168,0.0790227741,-0.4870586628,2.0412307435,0.038982317,-0.7502808133
2,0.6,2.1177706958,0.0800120591,-0.4670017976,2.0486815338,0.0367008808,-0.723521075
2,0.7,2.1214730957,0.0806071121,-0.4644105026,2.0424989999,0.0239563551,-0.7135789137
2,0.8,2.113772119,0.0794688086,-0.4788783698,2.0027787036,-0.0359310208,-0.6959530353
2,0.9,2.0445006737,0.038067557,-0.5428710963,1.9226577365,-0.1947051722,-0.6208487982
2,1,1.9889541548,-8.70049239468E-05,-0.5173112609,1.8827810051,-0.269748852,-0.5025850408
2,1.1,1.9587348622,-0.0303900143,-0.4959402698,1.8427449586,-0.3056791443,-0.4485676513
2,1.2,1.9298398142,-0.0699345464,-0.4767670374,1.8057912103,-0.3425498855,-0.4224807541
2,1.3,1.9091151474,-0.1072120655,-0.4632277767,1.7772280196,-0.3784237392,-0.4137716038
2,1.4,1.8918887575,-0.1447482997,-0.4537801427,1.751527814,-0.4147962396,-0.4197120001
2,1.5,1.8838508158,-0.1763572465,-0.4461077498,1.7259775164,-0.4370719072,-0.4432485579
2,1.6,1.8828423257,-0.1939364128,-0.4487705574,1.7162963389,-0.453849317,-0.4668649164
2,1.7,1.9159607108,-0.1767357296,-0.4378688236,1.735088742,-0.4165242358,-0.4838417005
2,1.8,1.9159607108,-0.1767357296,-0.4378688236,1.735088742,-0.4165242358,-0.4838417005
2,1.9,1.9187403717,-0.1781554429,-0.4398705428,1.73931906,-0.4171927383,-0.4923307602
2,2,1.9212202268,-0.1771975328,-0.4398181227,1.7408905909,-0.4157193134,-0.4914840558
2,2.1,1.9208482948,-0.1831866699,-0.4413726868,1.7382072497,-0.4198713008,-0.4933330755
2,2.2,1.9231162472,-0.1861745919,-0.4421716758,1.7385729907,-0.4221225201,-0.4905890277
2,2.3,1.9268976107,-0.185350405,-0.4436832254,1.7423244257,-0.420246896,-0.4968452366
3,0.1,2.6221115583,0.156937427,-0.44505907,2.5304575629,0.1548099541,-0.7638946709
3,0.2,2.6225075306,0.1601878099,-0.4482875871,2.5429248229,0.1552740959,-0.7703043846
3,0.3,2.6279989898,0.1594621373,-0.4479005528,2.5569914464,0.1609352041,-0.771942864
3,0.4,2.6277770797,0.1560626767,-0.4475622342,2.5658808321,0.1645776623,-0.7733755139
3,0.5,2.619625231,0.152082651,-0.4497030428,2.5724086442,0.1656353645,-0.7777514534
3,0.6,2.6148276118,0.1442923807,-0.4606868509,2.562299253,0.1598685885,-0.7879094363
3,0.7,2.6091382029,0.1311350417,-0.4618184523,2.5520031485,0.1493671774,-0.7880540518
3,0.8,2.6076509326,0.1258950765,-0.4576818807,2.5309376082,0.1208734858,-0.7801995432
3,0.9,2.6064566101,0.1240945045,-0.4558216163,2.5167723905,0.1085059487,-0.7747276284
3,1,2.6020767676,0.1120699217,-0.4568717406,2.4900020795,0.0646409822,-0.7650237947
3,1.1,2.5911935303,0.0912521175,-0.460426266,2.4570636735,0.0499654767,-0.7604691693
3,1.2,2.5250195757,0.061167726,-0.5249301734,2.3246288437,-0.0378441185,-0.786003656
3,1.3,2.4287333317,0.0136921946,-0.5362071634,2.1831654982,-0.129112632,-0.7352434318
3,1.4,2.320972307,-0.0421942639,-0.536084148,2.0614999674,-0.216088375,-0.6902184488
3,1.5,2.1992577276,-0.1070002377,-0.5289083469,1.9459549525,-0.3011008233,-0.6676327582
3,1.6,2.0648789329,-0.2007043904,-0.5257854778,1.8213591389,-0.4030471428,-0.6667283089
3,1.7,2.0404824064,-0.2209855011,-0.4910679199,1.8150543223,-0.414835435,-0.6472098531
3,1.8,1.9954366322,-0.2570154365,-0.493280523,1.786786824,-0.4521439495,-0.6627664509
3,1.9,1.9675934156,-0.2795964714,-0.5035644784,1.7732892474,-0.473841814,-0.6893783398
3,2,1.950677642,-0.291731055,-0.5162885373,1.7703001787,-0.4855626807,-0.7160711999
3,2.1,1.9450506829,-0.2957586025,-0.521929813,1.7690833667,-0.4903779012,-0.7249958171
3,2.2,1.946223051,-0.2941857222,-0.5190449907,1.7708233739,-0.4907540545,-0.720762486
4,0.1,2.6603460804,0.1579945742,-0.4704148013,2.5513762192,-0.0059617586,-0.7374908781
4,0.2,2.6566878439,0.1631914144,-0.4743156668,2.5458317882,-0.0062834801,-0.7371123787
4,0.3,2.6535760307,0.1672537199,-0.4693824278,2.5428432673,-0.0024727305,-0.7320943013
4,0.4,2.6568655495,0.1758189023,-0.469514581,2.5463108019,-3.82695588322E-05,-0.7282080836
4,0.5,2.6604602763,0.1808895332,-0.4643810493,2.5528393675,0.0041247946,-0.7237225119
4,0.6,2.661862364,0.1800144773,-0.4685014158,2.551467777,0.0033755677,-0.7267774995
4,0.7,2.6600698665,0.1805994164,-0.4725449883,2.5472414502,0.0032085295,-0.7292499571
4,0.8,2.6599932066,0.1820293935,-0.4710591787,2.5485113983,0.0161073379,-0.735788536
4,0.9,2.6538391804,0.1715314003,-0.474322004,2.5277101358,0.0130382918,-0.7369469069
4,1,2.6220285584,0.1487108947,-0.5176032592,2.4801429631,-0.0161131586,-0.7753555456
4,1.1,2.5893557308,0.1203372548,-0.5394460347,2.4164728852,-0.0475602309,-0.782814052
4,1.2,2.5491463672,0.0936693138,-0.5364316658,2.348097323,-0.0724844704,-0.761413044
